vehicle_id,re_id,plate_text,ocr_confidence,video,frame,vehicle_type,vehicle_confidence,plate_detected
VEH-00001,REID-00002,UP80EJ5057,0.83,videoplayback.mp4,26,car,0.90,yes
VEH-00002,,,,videoplayback.mp4,1,truck,0.67,yes
VEH-00003,REID-00004,UP32LN1218,0.57,videoplayback.mp4,66,car,0.65,yes
VEH-00004,,,,videoplayback.mp4,1,motorcycle,0.46,no
VEH-00005,,,,videoplayback.mp4,1,car,0.41,no
VEH-00006,,,,videoplayback.mp4,1,motorcycle,0.30,no
VEH-00007,,,,videoplayback.mp4,1,car,0.29,no
VEH-00008,,,,videoplayback.mp4,1,motorcycle,0.26,no
VEH-00009,,,,videoplayback.mp4,6,motorcycle,0.63,no
VEH-00010,,,,videoplayback.mp4,19,car,0.55,no
VEH-00011,REID-00006,AR51BE1188,0.51,videoplayback.mp4,98,car,0.46,yes
VEH-00012,,,,videoplayback.mp4,24,car,0.38,no
VEH-00013,,,,videoplayback.mp4,40,car,0.46,yes
VEH-00014,,,,videoplayback.mp4,51,truck,0.36,yes
VEH-00015,,,,videoplayback.mp4,56,car,0.39,no
VEH-00016,,,,videoplayback.mp4,58,car,0.56,no
VEH-00017,REID-00007,UP78HD3674,0.77,videoplayback.mp4,164,truck,0.31,yes
VEH-00018,,,,videoplayback.mp4,79,car,0.46,no
VEH-00019,,,,videoplayback.mp4,90,truck,0.44,yes
VEH-00020,,,,videoplayback.mp4,96,car,0.49,no
VEH-00021,,,,videoplayback.mp4,99,car,0.57,yes
VEH-00022,,,,videoplayback.mp4,104,car,0.61,no
VEH-00023,,,,videoplayback.mp4,113,motorcycle,0.64,no
VEH-00024,,,,videoplayback.mp4,116,car,0.53,no
VEH-00025,,,,videoplayback.mp4,118,motorcycle,0.76,no
VEH-00026,,,,videoplayback.mp4,124,motorcycle,0.49,no
VEH-00027,,,,videoplayback.mp4,127,car,0.40,no
VEH-00028,,,,videoplayback.mp4,128,car,0.62,no
VEH-00029,,,,videoplayback.mp4,132,truck,0.42,yes
VEH-00030,,,,videoplayback.mp4,140,truck,0.43,no
VEH-00031,REID-00012,UP12AA7855,0.92,videoplayback.mp4,274,car,0.43,yes
VEH-00032,,,,videoplayback.mp4,148,car,0.48,no
VEH-00033,,,,videoplayback.mp4,151,truck,0.47,no
VEH-00034,,,,videoplayback.mp4,166,car,0.78,yes
VEH-00035,REID-00009,DL3CCP6535,0.70,videoplayback.mp4,228,car,0.39,yes
VEH-00036,,,,videoplayback.mp4,185,car,0.49,no
VEH-00037,,,,videoplayback.mp4,187,car,0.62,no
VEH-00038,,,,videoplayback.mp4,192,car,0.58,no
VEH-00039,,,,videoplayback.mp4,193,car,0.39,yes
VEH-00040,,,,videoplayback.mp4,196,car,0.72,no
VEH-00041,,,,videoplayback.mp4,198,car,0.62,no
VEH-00042,,,,videoplayback.mp4,200,car,0.72,no
VEH-00043,,,,videoplayback.mp4,201,truck,0.44,no
VEH-00044,,,,videoplayback.mp4,203,car,0.34,no
VEH-00045,,,,videoplayback.mp4,204,car,0.60,no
VEH-00046,,,,videoplayback.mp4,209,truck,0.31,no
VEH-00047,,,,videoplayback.mp4,213,truck,0.36,no
VEH-00048,,,,videoplayback.mp4,218,truck,0.44,no
VEH-00049,,,,videoplayback.mp4,219,car,0.52,no
VEH-00050,,,,videoplayback.mp4,225,car,0.42,no
VEH-00051,,,,videoplayback.mp4,226,truck,0.76,yes
VEH-00052,,,,videoplayback.mp4,230,truck,0.33,no
VEH-00053,,,,videoplayback.mp4,239,truck,0.38,no
VEH-00054,,,,videoplayback.mp4,243,bus,0.35,no
VEH-00055,,,,videoplayback.mp4,248,bus,0.32,no
VEH-00056,,,,videoplayback.mp4,253,truck,0.53,no
VEH-00057,,,,videoplayback.mp4,255,motorcycle,0.39,no
VEH-00058,REID-00015,UP14FJ4529,0.53,videoplayback.mp4,306,truck,0.38,yes
VEH-00059,,,,videoplayback.mp4,261,truck,0.57,yes
VEH-00060,,,,videoplayback.mp4,266,truck,0.36,no
VEH-00061,,,,videoplayback.mp4,272,car,0.39,no
VEH-00062,,,,videoplayback.mp4,277,car,0.46,no
VEH-00063,,,,videoplayback.mp4,279,car,0.56,yes
VEH-00064,,,,videoplayback.mp4,293,car,0.51,no
VEH-00065,,,,videoplayback.mp4,298,car,0.63,no
VEH-00066,,,,videoplayback.mp4,303,car,0.38,no
VEH-00067,,,,videoplayback.mp4,308,car,0.42,yes
VEH-00068,REID-00017,UP25CS9120,0.84,videoplayback.mp4,462,car,0.32,yes
VEH-00069,,,,videoplayback.mp4,323,motorcycle,0.54,no
VEH-00070,,,,videoplayback.mp4,325,motorcycle,0.39,no
VEH-00071,,,,videoplayback.mp4,334,car,0.39,no
VEH-00072,,,,videoplayback.mp4,336,car,0.55,no
VEH-00073,,,,videoplayback.mp4,338,car,0.39,no
VEH-00074,,,,videoplayback.mp4,340,car,0.38,yes
VEH-00075,,,,videoplayback.mp4,344,motorcycle,0.56,no
VEH-00076,,,,videoplayback.mp4,347,motorcycle,0.52,no
VEH-00077,,,,videoplayback.mp4,349,truck,0.42,no
VEH-00078,,,,videoplayback.mp4,351,motorcycle,0.65,no
VEH-00079,,,,videoplayback.mp4,353,truck,0.57,yes
VEH-00080,,,,videoplayback.mp4,357,motorcycle,0.66,no
VEH-00081,,,,videoplayback.mp4,357,truck,0.48,no
VEH-00082,,,,videoplayback.mp4,368,motorcycle,0.62,no
VEH-00083,,,,videoplayback.mp4,381,car,0.41,no
VEH-00084,,,,videoplayback.mp4,381,car,0.44,no
VEH-00085,,,,videoplayback.mp4,387,car,0.45,no
VEH-00086,REID-00020,DL3CCK2418,0.48,videoplayback.mp4,538,car,0.37,yes
VEH-00087,,,,videoplayback.mp4,393,car,0.45,no
VEH-00088,,,,videoplayback.mp4,395,car,0.45,no
VEH-00089,,,,videoplayback.mp4,398,car,0.45,no
VEH-00090,,,,videoplayback.mp4,404,car,0.46,no
VEH-00091,,,,videoplayback.mp4,406,motorcycle,0.62,no
VEH-00092,,,,videoplayback.mp4,426,truck,0.49,no
VEH-00093,,,,videoplayback.mp4,427,car,0.32,no
VEH-00094,,,,videoplayback.mp4,448,truck,0.45,yes
VEH-00095,,,,videoplayback.mp4,450,car,0.44,no
VEH-00096,,,,videoplayback.mp4,468,car,0.57,no
VEH-00097,,,,videoplayback.mp4,473,car,0.37,no
VEH-00098,,,,videoplayback.mp4,477,car,0.44,yes
VEH-00099,,,,videoplayback.mp4,497,truck,0.33,yes
VEH-00100,,,,videoplayback.mp4,508,motorcycle,0.64,no
VEH-00101,,,,videoplayback.mp4,508,car,0.39,no
VEH-00102,,,,videoplayback.mp4,514,car,0.44,no
VEH-00103,,,,videoplayback.mp4,515,truck,0.47,no
VEH-00104,,,,videoplayback.mp4,517,car,0.39,no
VEH-00105,,,,videoplayback.mp4,518,car,0.45,no
VEH-00106,,,,videoplayback.mp4,536,motorcycle,0.69,no
VEH-00107,,,,videoplayback.mp4,538,car,0.47,no
